GeneName,p-value
KCNE3,8.486175152372117e-07
ZC4H2,8.922372372498738e-07
STXBP3,8.944186662736459e-07
TGFB2,8.948457139298334e-07
COMMD8,8.951970853189979e-07
CHMP4C,8.954959572688945e-07
DUSP14,8.956580406697689e-07
MTERF3,8.989664174595467e-07
PDE8B,9.082748007968385e-07
ANKRD6,9.307956369975934e-07
EIF1AX,9.428501362234415e-07
THY1,9.54402676272089e-07
MEGF6,9.620274245815682e-07
MAP3K1,9.629637454693545e-07
BAZ1A,9.62978879230599e-07
NTF3,9.631145692457323e-07
KDM5D,9.650622825806824e-07
ANO6,9.78075204107716e-07
SLC26A4,9.93747878719543e-07
NKAPD1,9.95108696374106e-07
TRPC6,1.0007356893753641e-06
LIPC,1.0036744191694874e-06
CD24,1.0054875978742085e-06
RICTOR,1.0069267192392975e-06
SRSF8,1.0087113317140586e-06
ZNF609,1.010586206206272e-06
ARHGEF3,1.011485141736536e-06
FHDC1,1.0147848459530349e-06
ZFP64,1.0173474795249637e-06
MX1,1.0196280014426435e-06
PNN,1.0199489617055007e-06
CCR5,1.020097108664807e-06
L3MBTL3,1.0206665522550395e-06
KCNA10,1.0277306716377283e-06
LINC01204,1.027965119290003e-06
TNFAIP8,1.0322071815294646e-06
WFIKKN1,1.0452120373198135e-06
STAC,1.0462227758455085e-06
PRMT2,1.0488565678298912e-06
ADAMTSL4,1.052282321160123e-06
ASB13,1.0527582875159677e-06
SLC2A1,1.0542829035954414e-06
PSAP,1.0668936192857874e-06
SLC25A29,1.0807078079479162e-06
NPTN,1.1032239708720916e-06
SEC61G,1.117895400134532e-06
CZIB,1.1238382404591234e-06
VHRT,1.128777664738142e-06
EVC,1.1293705878645043e-06
LINC01391,1.1388343615658485e-06
MYBPC2,1.1405766147046406e-06
SYT12,1.1412911123036405e-06
ITPKB,1.1686185056113132e-06
CENPC,1.1724907863319908e-06
LOC728392,1.1818012060897768e-06
CAP1,1.2029491108008252e-06
RLF,1.2074427919105847e-06
PDCD6,1.2104137095952394e-06
KCNC4,1.2181188221092432e-06
SPECC1,1.2468210492898355e-06
TMEM171,1.2487866097719696e-06
RAB1A,1.2615438338455254e-06
NSD1,1.2663217237940182e-06
VWCE,1.2690077935633038e-06
FTH1,1.271744718352487e-06
SPAG4,1.273696286756915e-06
TMSB4Y,1.2865164342653538e-06
VEGFA,1.3103122957022687e-06
EPB41,1.3135805669021289e-06
VMO1,1.3344272161679363e-06
PAQR8,1.3364196848684693e-06
STBD1,1.337682668197388e-06
PRCD,1.3437505900722545e-06
COG6,1.3520075678307104e-06
PPP1R10,1.3835817499330603e-06
DIS3,1.392726294565756e-06
NEDD9,1.4011838204457939e-06
NOL7,1.4051878103644877e-06
CACUL1,1.4192731772494537e-06
GREM1,1.420613413900309e-06
PAG1,1.4271232888817783e-06
DHRS1,1.4358628278212434e-06
PPM1L,1.4389884253964588e-06
TPI1,1.4532818942238518e-06
LARP1B,1.4568526599844027e-06
XIST,1.4604117898662226e-06
PRR15-DT,1.467992712840108e-06
MSL1,1.4732797062152006e-06
ENPP1,1.4745488442657563e-06
ECM1,1.476954248864635e-06
CS,1.4772676128387958e-06
UTY,1.4875583802605903e-06
PFKP,1.495876044595499e-06
LINC02018,1.5144395324784744e-06
CUL9,1.52328228103949e-06
CABLES1,1.5389300770948913e-06
EDA2R,1.5523309301236815e-06
RNASEL,1.5669067946558763e-06
SPOCK2,1.5821818949260766e-06
GABRA4,1.590786556366755e-06
DSTN,1.6105834165425126e-06
SPTBN1,1.6258695725821386e-06
PLA2R1,1.62997893431407e-06
PRKAR1B,1.6479996383546126e-06
